ano,idade_grupo,raca_cor,sexo,sigla_uf,baixa,media,contrast,level_a,level_b,pair_stratum_n,has_pair_common_support,min_pair_cell_n,alta
2021,jovem,1,2,RO,0.0,5.0,media_vs_baixa,baixa,media,5,False,0,
2021,jovem,1,2,RS,25.0,82.0,media_vs_baixa,baixa,media,107,True,25,
2021,jovem,1,2,SC,13.0,81.0,media_vs_baixa,baixa,media,94,False,13,
2021,jovem,1,2,SE,6.0,8.0,media_vs_baixa,baixa,media,14,False,6,
2021,jovem,1,2,SP,72.0,277.0,media_vs_baixa,baixa,media,349,True,72,
2021,jovem,1,2,TO,2.0,8.0,media_vs_baixa,baixa,media,10,False,2,
2021,jovem,2,1,AC,0.0,2.0,media_vs_baixa,baixa,media,2,False,0,
2021,jovem,2,1,AL,0.0,3.0,media_vs_baixa,baixa,media,3,False,0,
2021,jovem,2,1,AM,0.0,3.0,media_vs_baixa,baixa,media,3,False,0,
2021,jovem,2,1,AP,0.0,2.0,media_vs_baixa,baixa,media,2,False,0,
2021,jovem,2,1,BA,14.0,304.0,media_vs_baixa,baixa,media,318,False,14,
2021,jovem,2,1,CE,2.0,10.0,media_vs_baixa,baixa,media,12,False,2,
2021,jovem,2,1,DF,0.0,13.0,media_vs_baixa,baixa,media,13,False,0,
2021,jovem,2,1,ES,0.0,13.0,media_vs_baixa,baixa,media,13,False,0,
2021,jovem,2,1,GO,1.0,44.0,media_vs_baixa,baixa,media,45,False,1,
2021,jovem,2,1,MA,4.0,54.0,media_vs_baixa,baixa,media,58,False,4,
2021,jovem,2,1,MG,8.0,90.0,media_vs_baixa,baixa,media,98,False,8,
2021,jovem,2,1,MS,2.0,5.0,media_vs_baixa,baixa,media,7,False,2,
2021,jovem,2,1,MT,0.0,13.0,media_vs_baixa,baixa,media,13,False,0,
2021,jovem,2,1,PA,1.0,51.0,media_vs_baixa,baixa,media,52,False,1,
2021,jovem,2,1,PB,0.0,3.0,media_vs_baixa,baixa,media,3,False,0,
2021,jovem,2,1,PE,4.0,50.0,media_vs_baixa,baixa,media,54,False,4,
2021,jovem,2,1,PI,3.0,17.0,media_vs_baixa,baixa,media,20,False,3,
2021,jovem,2,1,PR,4.0,18.0,media_vs_baixa,baixa,media,22,False,4,
2021,jovem,2,1,RJ,6.0,207.0,media_vs_baixa,baixa,media,213,False,6,
2021,jovem,2,1,RN,0.0,5.0,media_vs_baixa,baixa,media,5,False,0,
2021,jovem,2,1,RO,0.0,3.0,media_vs_baixa,baixa,media,3,False,0,
2021,jovem,2,1,RR,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,jovem,2,1,RS,1.0,39.0,media_vs_baixa,baixa,media,40,False,1,
2021,jovem,2,1,SC,0.0,13.0,media_vs_baixa,baixa,media,13,False,0,
2021,jovem,2,1,SE,5.0,25.0,media_vs_baixa,baixa,media,30,False,5,
2021,jovem,2,1,SP,7.0,86.0,media_vs_baixa,baixa,media,93,False,7,
